,start time,end time,image_index,blur
157,434031,435315,102,2.4199404711226613
158,436739,436783,102,2.4199404711226613
159,442415,442559,106,0.0
160,446235,448163,108,0.0
161,448515,448663,109,8.280892510347586
162,448919,449079,109,8.280892510347586
163,450311,450451,109,8.280892510347586
164,451975,452227,110,0.9748940599689071
165,454587,454807,110,0.9748940599689071
166,455575,455827,111,18.634666618828927
167,457423,457427,111,18.634666618828927
168,461043,461243,112,9.343929625074116
169,461391,461555,112,9.343929625074116
170,461599,461699,112,9.343929625074116
171,461875,461915,112,9.343929625074116
172,464915,465059,113,1.5860494142358794
173,465799,466027,113,1.5860494142358794
174,467419,467687,114,14.696539033119196
175,470115,470499,114,14.696539033119196
176,471731,471911,114,14.696539033119196
177,473579,476299,115,0.0
178,476471,476511,115,0.0
179,476999,478767,115,0.0
180,479087,479203,115,0.0
181,484147,484199,119,0.0
182,485319,485715,120,0.0
183,487115,487271,121,6.0226063073579255
184,490339,490503,121,6.0226063073579255
185,491447,491627,122,17.025274741801127
186,492059,492299,122,17.025274741801127
187,493983,494143,122,17.025274741801127
188,494607,494767,123,3.7673843396130113
189,498359,498411,123,3.7673843396130113
190,500003,500223,124,18.20279236615115
191,501007,501059,124,18.20279236615115
192,501983,502279,124,18.20279236615115
193,503623,503955,125,8.346436499352235
194,504179,504255,125,8.346436499352235
195,504431,505015,125,8.346436499352235
196,506067,506283,125,8.346436499352235
197,506627,506643,125,8.346436499352235
198,508671,508947,126,0.4477443629591993
199,511123,511395,126,0.4477443629591993
200,511687,511731,126,0.4477443629591993
201,513587,514019,127,0.0
202,518155,519083,131,0.0
203,519131,519959,131,0.0
204,521103,521375,132,0.0
205,521875,522403,132,0.0
206,524599,524955,133,1.7278274601267607
207,525003,525307,133,1.7278274601267607
208,525579,525871,133,1.7278274601267607
209,527283,527667,134,17.740591704606967
210,527835,527899,134,17.740591704606967
211,529299,529895,134,17.740591704606967
212,530791,530887,135,4.567673435821891
213,531043,531807,135,4.567673435821891
214,533279,533279,135,4.567673435821891
215,533439,533439,135,4.567673435821891
216,535287,535563,136,15.933689323641202
217,535867,535987,136,15.933689323641202
218,537547,537835,136,15.933689323641202
219,539007,539023,137,9.566919053601088
220,539091,539095,137,9.566919053601088
221,539287,539471,137,9.566919053601088
222,540015,540351,137,9.566919053601088
223,542615,542811,137,9.566919053601088
224,544471,544691,138,14.655549304024312
225,545811,545983,138,14.655549304024312
226,546699,546995,138,14.655549304024312
227,547307,547607,138,14.655549304024312
228,549915,550163,139,0.0
229,550567,550819,139,0.0
230,551107,551211,140,0.0
231,554883,554883,143,0.0
232,556263,556583,144,0.0
233,556875,557255,144,0.0
234,557751,558323,145,7.4003191378122235
235,558607,559111,145,7.4003191378122235
236,559183,559199,145,7.4003191378122235
237,559319,559823,145,7.4003191378122235
238,560783,560995,145,7.4003191378122235
239,562023,562279,146,12.487406594848585
240,562695,562947,146,12.487406594848585
241,564559,564747,146,12.487406594848585
242,566231,566419,147,12.280210148040545
243,567147,567383,147,12.280210148040545
244,567871,568091,147,12.280210148040545
245,568219,568487,147,12.280210148040545
246,569611,569723,147,12.280210148040545
247,570579,570867,148,4.817337731488529
248,575011,575319,149,2.985700493121688
249,577867,578087,149,2.985700493121688
250,578531,578847,150,14.09053544116341
251,580759,581207,150,14.09053544116341
252,581383,581383,150,14.09053544116341
253,583243,583435,150,14.09053544116341
254,583847,584775,151,0.0
255,587115,590979,154,0.0
256,591027,592203,156,0.0
257,592431,592539,157,13.916788344643
258,593327,593611,157,13.916788344643
259,593927,594311,157,13.916788344643
260,595571,595743,157,13.916788344643
261,597799,597963,158,17.453408177975355
262,598363,598627,158,17.453408177975355
263,598959,598975,158,17.453408177975355
264,599603,599879,158,17.453408177975355
265,600403,600403,158,17.453408177975355
266,600515,600535,159,8.548892621653652
267,606463,606603,160,3.18481117677196
268,606947,607183,160,3.18481117677196
269,607227,613887,160,3.18481117677196
270,614423,614691,162,9.27494657337345
271,614823,615155,162,9.27494657337345
272,615379,615559,162,9.27494657337345
273,615607,615999,162,9.27494657337345
274,616163,616455,162,9.27494657337345
275,617427,617659,162,9.27494657337345
276,618831,618875,163,0.0
277,621819,621983,165,0.0
278,622247,622435,165,0.0
279,622795,622811,166,0.0
280,625199,625655,168,0.0
281,626147,626179,169,14.456947258301208
282,626275,626579,169,14.456947258301208
283,627231,627447,169,14.456947258301208
284,629311,629511,169,14.456947258301208
285,630671,630851,170,19.730629809258183
286,632035,632279,170,19.730629809258183
287,633483,633687,170,19.730629809258183
288,633847,634247,170,19.730629809258183
289,634423,634699,171,10.729467313731858
290,634751,634811,171,10.729467313731858
291,635131,635427,171,10.729467313731858
292,638503,638591,172,19.07710235330469
293,638883,639227,172,19.07710235330469
294,639295,639295,172,19.07710235330469
295,639571,639839,172,19.07710235330469
296,642291,643555,172,19.07710235330469
297,643915,644251,173,19.81457731761283
298,645283,645283,173,19.81457731761283
299,645495,645495,173,19.81457731761283
300,645735,646155,173,19.81457731761283
301,646319,646915,173,19.81457731761283
302,648871,649215,174,10.434751900455135
303,649279,650291,174,10.434751900455135
304,650347,650515,174,10.434751900455135
305,650607,650647,174,10.434751900455135
306,651415,651711,174,10.434751900455135
307,653603,653651,176,0.0
308,653727,653727,176,0.0
309,656827,656827,180,0.0
310,657719,658447,180,0.0
311,658543,658607,0,0.0
