,x,y,start time,end time,image_index,image_x,image_y,blur
159,1593.8,634.8,228343,228595,29,705.8,146.79999999999995,19.32166319254624
160,1811.7,690.0,228711,228731,29,923.7,202.0,19.32166319254624
161,1447.4,1105.4,228763,228843,29,559.4000000000001,617.4000000000001,19.32166319254624
162,1285.0,1114.4,228871,229271,29,397.0,626.4000000000001,19.32166319254624
163,1337.1,1161.4,229287,229527,29,449.0999999999999,673.4000000000001,19.32166319254624
164,1338.4,1129.3,229539,229931,29,450.4000000000001,641.3,19.32166319254624
165,1806.6,711.2,230547,230567,29,918.5999999999999,223.20000000000005,19.32166319254624
166,1361.4,1153.7,230615,231303,29,473.4000000000001,665.7,19.32166319254624
167,1417.0,1099.4,231319,231543,29,529.0,611.4000000000001,19.32166319254624
168,1463.7,1065.4,231567,231903,29,575.7,577.4000000000001,19.32166319254624
169,1416.8,1053.7,232487,232579,30,528.8,565.7,4.525336884769063
170,1463.9,1081.5,232599,232795,30,575.9000000000001,593.5,4.525336884769063
171,1356.1,1066.6,232815,233379,30,468.0999999999999,578.5999999999999,4.525336884769063
172,1481.3,1063.3,233407,233587,30,593.3,575.3,4.525336884769063
173,1657.7,1030.4,233615,233771,30,769.7,542.4000000000001,4.525336884769063
174,1513.6,1068.4,233795,234019,30,625.5999999999999,580.4000000000001,4.525336884769063
175,1383.9,1079.1,234043,234335,30,495.9000000000001,591.0999999999999,4.525336884769063
176,1310.2,1108.8,234355,234571,30,422.20000000000005,620.8,4.525336884769063
177,1384.6,1215.7,234591,234815,30,496.5999999999999,727.7,4.525336884769063
178,1332.5,1291.6,234831,235067,30,444.5,803.5999999999999,4.525336884769063
179,1388.0,1165.4,235819,235991,30,500.0,677.4000000000001,4.525336884769063
180,1430.6,1110.5,236011,236183,30,542.5999999999999,622.5,4.525336884769063
181,1453.4,1068.5,236199,236515,30,565.4000000000001,580.5,4.525336884769063
182,1344.0,1050.9,237035,238595,30,1344.0,1050.9,4.525336884769063
183,1489.5,1026.0,238627,239275,31,1489.5,1026.0,0.0
184,1408.0,994.1,239303,239647,32,520.0,506.1,0.0
185,1433.7,998.8,239663,239867,32,545.7,510.79999999999995,0.0
186,1524.6,998.2,239895,240235,32,636.5999999999999,510.20000000000005,0.0
187,1651.0,444.6,240279,240327,32,763.0,-43.39999999999998,0.0
188,1472.0,387.8,240359,240691,32,584.0,-100.19999999999999,0.0
189,1317.6,1078.7,240735,241211,32,1317.6,1078.7,0.0
190,1442.7,1045.1,241239,241955,33,1442.7,1045.1,0.0
191,1326.9,1035.8,241979,242571,34,438.9000000000001,547.8,0.0
192,1459.3,1042.1,242599,243143,34,571.3,554.0999999999999,0.0
193,1335.3,1049.8,243171,243795,34,1335.3,1049.8,0.0
194,1441.1,1027.6,243819,244467,35,1441.1,1027.6,0.0
195,1357.1,1009.6,244491,245011,36,469.0999999999999,521.6,0.0
