,duration,start time,end time,start x,end x,start y,end y,size,distance,speed,image_index,blur
148,452,224923,225375,1272.3,1483.2,971.3,819.2,260.02542183409685,260.02542183409685,0.5752774819338425,28,17.364769869553022
149,16,225623,225639,1454.4,1373.8,523.6,506.7,82.3527170165018,82.3527170165018,5.1470448135313625,28,17.364769869553022
150,424,225671,226095,1361.5,1319.0,480.2,951.8,473.51115087186696,473.51115087186696,1.1167715822449693,28,17.364769869553022
151,576,226131,226707,1309.4,1552.4,961.0,701.7,355.36669793327565,355.36669793327565,0.6169560728008258,28,17.364769869553022
152,348,226891,227239,1509.5,1496.6,523.9,452.2,72.85121824650567,72.85121824650567,0.20934258116811974,28,17.364769869553022
153,28,227343,227371,1498.6,1494.4,452.0,456.5,6.1554853586048335,6.1554853586048335,0.21983876280731549,28,17.364769869553022
154,56,227403,227459,1506.7,1490.2,455.9,460.5,17.129214809792078,17.129214809792078,0.3058788358891443,28,17.364769869553022
155,44,227487,227531,1504.8,1532.4,465.8,442.7,35.99124893637353,35.99124893637353,0.8179829303721257,28,17.364769869553022
156,16,227663,227679,1515.5,1519.4,448.9,449.1,3.9051248379534202,3.9051248379534202,0.24407030237208877,28,17.364769869553022
157,64,227775,227839,1531.4,1504.8,461.7,438.2,35.49380227589047,35.49380227589047,0.5545906605607885,28,17.364769869553022
158,468,227871,228339,1499.3,1645.1,445.6,906.5,483.4112638323604,483.4112638323604,1.032930050923847,28,17.364769869553022
159,108,228599,228707,1591.5,1802.5,530.7,684.7,261.22212769977966,261.22212769977966,2.4187234046275896,29,19.32166319254624
160,24,228735,228759,1808.2,1451.9,693.7,1073.2,520.5477307605902,520.5477307605902,21.689488781691256,29,19.32166319254624
161,20,228847,228867,1439.6,1312.2,1116.4,1100.2,128.4258540948822,128.4258540948822,6.4212927047441095,29,19.32166319254624
162,8,229275,229283,1279.1,1312.9,1147.8,1164.2,37.56860391337447,37.56860391337447,4.696075489171808,29,19.32166319254624
163,4,229531,229535,1335.1,1338.4,1141.8,1129.0,13.218547575282242,13.218547575282242,3.3046368938205606,29,19.32166319254624
164,608,229935,230543,1346.2,1799.5,1143.7,706.1,630.0592432462204,630.0592432462204,1.0362816500760204,29,19.32166319254624
165,40,230571,230611,1370.0,1370.0,1126.6,1126.6,0.0,0.0,0.0,29,19.32166319254624
166,8,231307,231315,1366.0,1395.9,1134.4,1126.2,31.00403199585509,31.00403199585509,3.8755039994818863,29,19.32166319254624
167,16,231547,231563,1433.7,1459.9,1098.8,1069.0,39.67971774093157,39.67971774093157,2.4799823588082233,29,19.32166319254624
168,576,231907,232483,1467.8,1418.6,1058.9,1017.8,64.10811181122102,64.10811181122102,0.11129880522781427,29,19.32166319254624
169,12,232583,232595,1424.8,1472.3,1070.7,1083.3,49.14275124573305,49.14275124573305,4.095229270477755,30,4.525336884769063
170,12,232799,232811,1452.5,1393.1,1078.6,1055.3,63.806347646609645,63.806347646609645,5.317195637217471,30,4.525336884769063
171,20,233383,233403,1355.4,1469.4,1082.1,1067.2,114.96960467880194,114.96960467880194,5.748480233940097,30,4.525336884769063
172,20,233591,233611,1475.1,1634.1,1068.6,1051.2,159.94924194881324,159.94924194881324,7.997462097440662,30,4.525336884769063
173,16,233775,233791,1648.4,1544.3,1036.8,1049.5,104.87182653124732,104.87182653124732,6.554489158202958,30,4.525336884769063
174,16,234023,234039,1500.3,1418.1,1072.7,1071.9,82.20389285185956,82.20389285185956,5.137743303241223,30,4.525336884769063
175,12,234339,234351,1358.4,1311.5,1090.4,1096.4,47.28223767970387,47.28223767970387,3.9401864733086556,30,4.525336884769063
