,start time,path,location,size,end time,blur
16,190528,avatar-b362c10c5b986c38abfcda13f81eae4b_3.9846491515373206.jpg,"(1400, 1000)","(1024, 1024)",194678,3.9846491515373206
17,194678,avatar-84480ad96585c0306bc9e2f1c8bc5ba0_16.404170276739272.jpg,"(1400, 1000)","(1024, 1024)",198829,16.404170276739272
18,198829,avatar-bbfb810d545622635306d1934cee3cbd_4.791139328522796.jpg,"(1400, 1000)","(1024, 1024)",204513,4.791139328522796
19,204513,avatar-6ad04d8bed551265dfe745113e7636f8.jpg,"(1400, 1000)","(1024, 1024)",206211,0.0
20,206211,avatar-dbca77f9a6a2779dcab12f9c6f5b349e.jpg,"(1400, 1000)","(1024, 1024)",206995,0.0
21,206995,avatar-bbfb810d545622635306d1934cee3cbd.jpg,"(1400, 1000)","(1024, 1024)",207762,0.0
22,207762,avatar-69aa220e3e2ac01cc21a1c58f7d99033.jpg,"(1400, 1000)","(1024, 1024)",208545,0.0
23,208545,avatar-d3bcc15eb87480b4a19f9b622c743530.jpg,"(1400, 1000)","(1024, 1024)",209479,0.0
24,209479,avatar-84480ad96585c0306bc9e2f1c8bc5ba0.jpg,"(1400, 1000)","(1024, 1024)",211380,0.0
25,211380,avatar-65236ae0a60b8f09e651d0928dfe0fd1_18.642374725299216.jpg,"(1400, 1000)","(1024, 1024)",215528,18.642374725299216
26,215528,avatar-62dc5092b444bfff3ed722073e5bef08_6.658490912985506.jpg,"(1400, 1000)","(1024, 1024)",219678,6.658490912985506
27,219678,avatar-0b4d5b731539af32372c14758365bd59_17.056834249876243.jpg,"(1400, 1000)","(1024, 1024)",223828,17.056834249876243
28,223828,avatar-5cfd145857cda86df76d145f4294538c_17.364769869553022.jpg,"(1400, 1000)","(1024, 1024)",227978,17.364769869553022
29,227978,avatar-b8f800706ace3a388d9f28c28487a5b8_19.32166319254624.jpg,"(1400, 1000)","(1024, 1024)",232128,19.32166319254624
30,232128,avatar-dbcb9e232de08f9239c982ca909578fc_4.525336884769063.jpg,"(1400, 1000)","(1024, 1024)",237814,4.525336884769063
31,237814,avatar-5cfd145857cda86df76d145f4294538c.jpg,"(1400, 1000)","(1024, 1024)",238896,0.0
32,238896,avatar-1af3ecbd676f23a56a3736cbdc743a8e.jpg,"(1400, 1000)","(1024, 1024)",240762,0.0
33,240762,avatar-f67fc8e3cb50530a9c5547a733bbf105.jpg,"(1400, 1000)","(1024, 1024)",241479,0.0
34,241479,avatar-dbcb9e232de08f9239c982ca909578fc.jpg,"(1400, 1000)","(1024, 1024)",243346,0.0
35,243346,avatar-d6ccb54da514cf1aeb6af0f30b1c6807.jpg,"(1400, 1000)","(1024, 1024)",244062,0.0
36,244062,avatar-62dc5092b444bfff3ed722073e5bef08.jpg,"(1400, 1000)","(1024, 1024)",245913,0.0
37,245913,avatar-e35c3928a080f759866fceb87ff97548_16.99347816906338.jpg,"(1400, 1000)","(1024, 1024)",250062,16.99347816906338
38,250062,avatar-517354d766fb95d672c68f953447948c_12.52424290189035.jpg,"(1400, 1000)","(1024, 1024)",254229,12.52424290189035
39,254229,avatar-baf60bb927c485f30ac80333e4e907fd_4.139392566537814.jpg,"(1400, 1000)","(1024, 1024)",258379,4.139392566537814
40,258379,avatar-23454cb588feedf48732df1cfb0c9abe_16.920054435595556.jpg,"(1400, 1000)","(1024, 1024)",262529,16.920054435595556
41,262529,avatar-7bbd9dab20eeaec911584a8438864edd_5.953444410158846.jpg,"(1400, 1000)","(1024, 1024)",266696,5.953444410158846
42,266696,avatar-048f4e6e93d8ea11aa5d923803945c17_15.537577293451974.jpg,"(1400, 1000)","(1024, 1024)",272380,15.537577293451974
